studentId,variant,Q1,Q2,Q3,Q4
111111,3,A,A,A,A
222222,1,A,B,B,B
333333,2,A,A,D,A
444444,2,C,B,B,B
555555,1,A,A,A,A
666666,2,A,A,A,A
777777,2,B,B,A,A
888888,3,A,A,A,B
999999,1,B,A,A,A
101010,2,A,B,A,C
121212,3,C,A,B,A
131313,1,A,A,A,A
141414,2,B,A,A,B
151515,3,A,B,A,A
161616,1,C,A,B,A
171717,2,A,A,A,A
181818,3,B,A,A,C
191919,1,A,B,A,B
202020,2,C,A,A,A
212121,3,A,A,B,A
222223,1,B,A,A,A
232323,2,A,B,A,B
242424,3,A,A,A,A
252525,1,A,A,B,C
262626,2,B,A,A,A
272727,3,C,B,A,B
282828,1,A,A,A,A
292929,2,A,A,B,A
303030,3,B,A,A,C
313131,1,A,B,A,A
323232,2,C,A,A,B
333334,3,A,A,A,A
343434,1,B,A,B,A
353535,2,A,B,A,A
363636,3,A,A,A,B
373737,1,C,A,A,C
383838,2,B,A,B,A
393939,3,A,B,A,A
404040,1,A,A,A,A
414141,2,B,A,A,B
424242,3,C,A,A,A
434343,1,A,B,B,B
444445,2,A,A,A,A
454545,3,B,A,B,C
464646,1,A,A,A,A
474747,2,C,B,A,B
484848,3,A,A,A,A
494949,1,B,A,A,C
505050,2,A,A,B,A
515151,3,A,B,A,A